regionId;regionName;partyId;partyName;candidateId;candidateName;col6
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;109;Ахмед Ибрахим Ахмед;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;110;Ибрахим Ахмед Даракчи;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;111;Ваис Ваис Амидеин;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;112;Октай Тугай Неби;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;113;Шабан Фейзи Бошнак;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;114;Асим Илхан Чауш;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;115;Фаадил Фаадил Маджир;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;116;Мустафа Мустафа Мейзин;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;101;Румяна Станоева Първанова;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;102;Янко Атанасов Бахчеванов;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;103;Любомир Иванов Стойков;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;104;Андрей Николаев Ковачев;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;105;Свилен Николов Смиленов;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;106;Светослав Асенов Салкин;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;107;Кристина Никодимова Мурджова;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;108;Александър Николов Пулев;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;109;Владимир Славев Миленков;
1;01. БЛАГОЕВГРАД;12;АНТИКОРУПЦИОНЕН БЛОК;110;Ани Чавдарова Давидкова-Васева;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;101;Корнелия Петрова Нинова;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;102;Илия Христов Шингаров;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;103;Елени Минкова Христова;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;104;Нели Кирилова Димитрова;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;105;Христо Валериев Василиев;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;106;Иво Илиев Бачийски;
1;01. БЛАГОЕВГРАД;13;НД НЕПОКОРНА БЪЛГАРИЯ;107;Динко Иванов Динев;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;101;Павел Славчов Стоименов;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;102;Искра Велинова Оракова;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;103;Костадин Атанасов Шабанов;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;104;Румен Иванов Бакалски;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;105;Станислав Димитров Жулев;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;106;Ангелина Крумова Попова;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;107;Венета Маринова Кушанова;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;108;Велислава Минкова Георгиева-Флеминг;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;109;Красимир Филипов Соленков;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;110;Емил Кирилов Стоянов;
1;01. БЛАГОЕВГРАД;14;ПП ВЕЛИЧИЕ;111;Николай Божидаров Николов;
1;01. БЛАГОЕВГРАД;15;ГЕРБ-СДС;101;Росен Димитров Желязков;
1;01. БЛАГОЕВГРАД;15;ГЕРБ-СДС;102;Юрий Тодоров Воев;
1;01. БЛАГОЕВГРАД;15;ГЕРБ-СДС;103;Костадин Томов Стойков;
1;01. БЛАГОЕВГРАД;15;ГЕРБ-СДС;104;Георги Иванов Георгиев;
